image_name,ocr_text,predicted_state,detection_result,ocr_result,state_result,overall_result,notes,detection_debug_dir,segmentation_debug_dir,recognition_debug_dir
sample_car.jpg,LISSZJRD6561,Labuan,Success,Not Evaluated,Not Evaluated,Completed,Pipeline completed.,C:\APU\IPPR\Assignment\output\debug\plate_detection\run_20260508_072128_168,C:\APU\IPPR\Assignment\output\debug\segmentation\run_20260508_072129_830,C:\APU\IPPR\Assignment\output\debug\recognition\run_20260508_072130_487
sample_car11.jpg,JRO6561,Johor,Success,Not Evaluated,Not Evaluated,Completed,Pipeline completed.,C:\APU\IPPR\Assignment\output\debug\plate_detection\run_20260508_072437_376,C:\APU\IPPR\Assignment\output\debug\segmentation\run_20260508_072438_019,C:\APU\IPPR\Assignment\output\debug\recognition\run_20260508_072438_465
